tweet_count,username,text,created_at,retweets,likes
62,Tarcísio Gomes de Freitas,"NINGUÉM AGUENTA MAIS PROMESSA! E é por isso que demos fim à espera e antecipamos a entrega de modernização da rodovia Osni Mateus, (SP 261), que liga os municípios de Borebi e Lençóis Paulista, na região de Bauru. Uma obra aguardada há 60 anos e que agora é uma realidade e é https://t.co/whjmb4bs4u",Sat Apr 12 12:03:28 +0000 2025,1643,9375,obra
63,Tarcísio Gomes de Freitas,"JÁ VIU COMO FICOU A RODOVIA OSNI MATEUS? O São Paulo Pra Toda Obra chegou à região de Bauru dois meses antes do previsto para liberar mais de 27 km de extensão na SP 261, que vão ligar as cidades de Borebi e Lençóis Paulista. O maior programa de modernização rodoviária da https://t.co/ETYqBPWI5H",Wed Apr 16 13:00:38 +0000 2025,670,3647,obra
64,Segurança Pública de SP,"A região de Bauru agora conta com a Cabine Lilás, um espaço dedicado a acolher e proteger mulheres que enfrentam a violência doméstica. 

Confira 👇 https://t.co/mfCiHJiM9k",Sat Aug 09 15:01:33 +0000 2025,0,1,violência
65,Polícia Militar do Estado de São Paulo,"Casal é preso por tráfico de drogas em Bauru/SP
Confira:https://t.co/gircfj4HFP https://t.co/QNiV418p2D",Wed Aug 27 11:37:57 +0000 2025,2,17,"droga, preso, tráfico"
66,Governo de S. Paulo,"Antes e depois da Rodovia Osni Mateus (SP 261) 🚧

O @governosp entregou as obras de melhoria da rodovia que liga os municípios de Borebi e Lençóis Paulista, na região de Bauru. A obra é uma das 1.500 contempladas pelo #SPPraTodaObra, o maior programa de modernização rodoviária https://t.co/R3mPtoffLL",Tue Apr 15 22:23:09 +0000 2025,5,22,obra
67,Jornal Diário do Estado,Quadrilha é presa por falsificação de garrafas de cerveja em galpão de Bauru: suspeitos de vários estados confessam crime ➡️ Leia: https:// https://t.co/VxcFbmQylq https://t.co/ZG8rm6RmWD,Tue Sep 02 22:46:32 +0000 2025,0,0,"crime, presa"
68,sunny's gang,ja é a segunda queimada aqui perto do meu apto nessa semana cade a policia ambiental de bauru,Mon Sep 29 17:58:47 +0000 2025,0,6,queimada
69,"11.10 TRES4 10 ANOS att, Maria Máquina","imagina ter um galpão pros coletivos daqui de bauru conseguirem fazer os roles em um espaço grande, não absurdamente caro, com alvará, energia elétrica e banheiro?
tipo,pode deixar que o resto nois desenrola sabe, mas por favor alguém precisa fazer algo sobre isso",Tue Sep 30 22:05:03 +0000 2025,0,12,energia
70,ISA,"ESSA É SUÉLEN.  PREFEITA DE BAURU.  BOSONARISTA. AMIGA DE BOSONARO , O QUE ESTÁ ACONTECENDO. SUÉLĘN. TERIA  FALADO QUE FAZERIA O POÇO PARA NÓS MORADORES DE BAURU E CONFIAMOS O DAE.  QUE MANDA AGUA PARA NÓS MORADORES, FICOU TEMPO SEM CHOVER. NO RIO BATALHA E AGORA ELA SUÉLEN QUER https://t.co/cGaUkHxPB9",Sat Sep 27 11:21:24 +0000 2025,1,0,dae
71,Portal AtaNews,Idoso reage e mata homem a facada após furto em Bauru https://t.co/mrdJk9o3at,Wed Oct 01 10:39:26 +0000 2025,0,0,furto
72,Folha Cotidiano,"Sem chuvas, Bauru (SP) endurece racionamento de água https://t.co/8l3Evf0Emk",Sat Sep 27 02:13:03 +0000 2025,1,1,"chuva, água"
73,Dr Hélio Santos,"Quem conheceu o “Trem da morte” da NOB - Noroeste do Brasil?
Um percurso de Bauru à Santa Cruz de La Sierra, Bolívia!",Sat Aug 02 17:45:26 +0000 2025,3,6,morte
74,MixVale,"Motorista impede estupro de menina em Bauru com ação rápida e corajosa 

#Bauru #estupro #Motorista

https://t.co/HYenAzLZQf",Fri Sep 05 13:45:17 +0000 2025,0,0,"estupro, moto"
75,laura palmer de bauru,"sabe qual é a única população no brasil que vive uma guerra de guerrilha a mais de trinta anos contra o Estado brasileiro?
São as transexuais, especialmente as travestis negras, que lutam diariamente contra o cistema de morte que nos cerca e mata sem dó",Mon Jul 28 19:29:37 +0000 2025,16,139,morte
76,HiperNotícias,Preso por quebrar casa e ameaçar esposa promete sair da cadeia para matá-la | HiperNotícias - Você bem informado https://t.co/0ALuAEhBUh https://t.co/4BCEMEHapd,Wed Oct 01 14:10:14 +0000 2025,0,0,preso
77,Jornal Diário do Estado,Racionamento de água em Bauru: Prefeitura distribui galões para população abastecida pelo Rio Batalha. Medidas para enfrentar a estiagem. ➡️ Leia: https:// https://t.co/bSHUGnKn5C https://t.co/q4N8hgWuQh,Tue Sep 30 23:37:25 +0000 2025,0,0,"prefeitura, água"
78,g1 Bauru,"Homem é preso suspeito de torturar, agredir e manter companheira em cárcere privado 
https://t.co/VRGsr3KXWO

#g1 #Guaimbê https://t.co/vLI1TwSh1J",Wed Sep 10 18:15:54 +0000 2025,0,0,preso
79,Rádio BandNews FM,Prefeitura de Bauru anuncia rodízio de abastecimento de água em meio à seca na região z #DIIAC #BandNewsStation https://t.co/14CSH6UjtE,Fri Aug 29 15:43:56 +0000 2025,1,0,"prefeitura, água"
80,bárbara,Perdi o grande amor da minha vida e não sei quando vou conseguir levantar de novo.😞,Wed Oct 01 14:47:03 +0000 2025,0,0,Nenhum
